AAPL
MSFT
GOOG
AMZN
NVDA
BRK-B
TSLA
META
JNJ
V
XOM
UNH
WMT
JPM
MA
PG
LLY
CVX
HD
ABBV
KO
MRK
AVGO
ORCL
PEP
PFE
BAC
COST
TMO
CSCO
MCD
CRM
NKE
DHR
DIS
ADBE
ABT
TMUS
TXN
UPS
VZ
AMD
CMCSA
NFLX
NEE
PM
MS
BMY
WFC
RTX
QCOM
T
INTC
AMGN
INTU
HON
BA
AXP
UNP
SBUX
DE
COP
LMT
CAT
LOW
IBM
SPGI
PLD
ELV
SYK
GS
AMAT
GE
GILD
ADI
BKNG
BLK
SCHW
AMT
CVS
MDLZ
NOW
ADP
C
ISRG
TJX
REGN
EL
PYPL
PGR
MMC
VRTX
ABNB
MO
SO
ZTS
CI
TGT
DUK
ITW
HCA
BSX
MU
LRCX
FISV
NOC
SLB
BDX
CME
EOG
EQIX
ATVI
WM
UBER
APD
BX
GD
CL
HUM
CSX
SCCO
PANW
MPC
FCX
MRNA
SNPS
MMM
ICE
SHW
CDNS
CCI
KLAC
FDX
MNST
EPD
OXY
MCO
USB
WDAY
CHTR
VMW
GM
PSA
ORLY
FTNT
F
HSY
PNC
MAR
VLO
ANET
EW
GIS
KDP
EMR
CTAS
MCK
PXD
NSC
SNOW
APH
SRE
MSI
MCHP
KHC
AEP
PSX
ECL
CMG
ROP
D
TFC
DG
MET
KMB
MSCI
KKR
AZO
ADSK
PH
SQ
LVS
ADM
PAYX
CTVA
RSG
STZ
O
EXC
AJG
SPG
GFS
IDXX
TDG
A
HES
BIIB
AFL
SYY
KMI
TRV
DOW
MRVL
ET
NUE
NEM
CARR
GEHC
PCAR
LNG
SGEN
APO
XEL
HLT
ILMN
ODFL
IQV
LHX
ON
BK
AIG
YUM
PCG
COF
WBD
WCN
WMB
CPRT
ROST
KR
WELL
OTIS
CNC
MPLX
IBKR
ROK
ED
MTD
CMI
GWW
DHI
AME
DVN
EA
DD
ABC
VICI
CRWD
RMD
AMP
FIS
PPG
DLTR
CTSH
PEG
PRU
BF-A
TTD
FAST
LYB
WEC
WBA
VRSK
GLW
LEN
BKR
DELL
ALL
AWK
VEEV
ENPH
KEYS
ANSS
HPQ
DLR
OKE
HAL
CSGP
SBAC
URI
RBLX
GPN
ULTA
ES
ZBH
EIX
NDAQ
CDW
ALB
TSCO
WST
IT
STT
ALNY
DFS
DASH
CEG
TROW
FANG
ALGN
EFX
ARES
PWR
AVB
FTV
FSLR
MPWR
EBAY
IFF
GPC
DDOG
EQR
FE
K
ETR
CQP
VMC
UDR
EXR
AEE
PODD
DTE
DAL
WY
ZM
CBRE
MKC
VRSN
MLM
HRL
HIG
CHD
HUBS
ARE
TDY
TSN
DOV
HEI
NET
HPE
BAX
RJF
PPL
TTWO
LH
MTB
HOLX
CLX
CAH
PAYC
STLD
INVH
CNP
OMC
DRI
CTRA
XYL
SWKS
SUI
BMRN
ROL
IEP
WAT
PINS
NTRS
CAG
PFG
NVR
MAA
FWONK
IEX
BR
JBHT
HWM
RF
LUV
TER
CMS
SNAP
VTR
RKT
COIN
EPAM
MKL
ABMD
COO
CHWY
FICO
FOX
BALL
TW
FITB
WMG
CINF
RCL
WAB
MGM
PLTR
EXPD
ZS
SJM
PKI
UI
BBY
TRGP
AXON
ZBRA
AES
LYV
WRB
CPB
WPC
MDB
BRO
HBAN
INCY
SPLK
ATO
FDS
OWL
LPLA
FLT
DGX
SIRI
MOH
FMC
MRO
AGR
AZPN
MOS
IRM
PTC
EXPE
TYL
RS
LKQ
LW
J
UAL
LCID
MKTX
WLK
CFG
PARA
AVY
TXT
AVTR
SSNC
BG
IPG
CBOE
OKTA
FCNCA
ETSY
CCL
EVRG
CF
BIO
NTAP
ESS
LSCC
LNT
L
RIVN
GLPI
POOL
BEN
TRMB
HUBB
SYM
ENTG
SNA
BURL
ELS
PHM
TPL
NDSN
AMH
SYF
WYNN
IP
WDC
BSY
LDOS
DT
TWLO
WSO
U
PKG
H
SRPT
SWK
GGG
CE
EXAS
BAH
BLDR
ERIE
ZI
AKAM
PEAK
DKS
CTLT
LBRDA
HST
TRU
REXR
DOCU
GDDY
KIM
DECK
EQT
JBL
CSL
TFX
ACI
PCTY
DPZ
ACM
KEY
NI
TECH
WTRG
VTRS
BRKR
DOX
TTC
CDAY
BWA
CHRW
FIVE
TAP
LSI
RPM
DXCM
MAS
MMP
CG
JNPR
APA
CPT
JKHY
GEN
XM
MTCH
PEN
IOT
RYAN
HSIC
GL
UHAL
CNA
SCI
Z
AOS
FND
REG
AFG
CZR
CUBE
QRVO
COTY
CHK
WES
AGCO
KMX
CRBG
BJ
CRL
UTHR
LAMR
TPR
EMN
PATH
ARCC
CCK
CHDN
PAG
NWS
MASI
AGL
AAL
LECO
NBIX
MANH
WSC
OSH
RGEN
DKNG
PFGC
DINO
ALGM
FHN
ROKU
CLF
NLY
FNF
MTN
DAR
ARMK
RRX
TOST
PCOR
VST
KNX
BKI
STOR
SNX
PNW
RGA
EQH
TPG
SGFY
UHS
LII
FFIV
PAA
BILL
FMCCT
VFC
OVV
MORN
BXP
LSXMB
DCP
RHI
OC
USFD
RGLD
CGNX
XRAY
BBWI
HII
LEA
WOLF
DLB
NNN
FRT
CASY
HOOD
WEX
MIDD
WSM
CHE
NRG
TTEK
SWAV
UWMC
FBHS
WRK
DCI
CROX
EWBC
PSTG
IRDM
UNM
ALLY
CIEN
LEGN
WCC
GPK
SEIC
ST
DBX
CAR
ATR
EME
CLH
OGE
RL
AA
IVZ
COLD
JEF
APLS
HAS
PSHZF
MTZ
KBR
ORI
SKX
PLUG
OLN
HR
OLED
CBSH
CFLT
TXRH
FR
DVA
SAIA
AAP
CELH
LEVI
NOV
WHR
ARW
UGI
EGP
BERY
ITT
INSP
AR
JLL
HESM
KNSL
CACI
EDR
GNRC
WBS
PLNT
VMI
KRTX
GME
NATI
VOYA
WMS
TPX
WWE
CFR
LFUS
AXTA
CW
GWRE
RBC
INGR
FCN
MAT
OHI
TOL
NTRA
AMKR
NVST
RCM
ADT
CR
TXG
BLD
GNTX
ACHC
SEE
BYD
BRX
NXST
CNXC
FOUR
LSTR
NYT
SMAR
PRI
PII
AN
AIZ
APP
RRC
SF
MHK
LAD
CWEN
EXEL
SIVB
DOCS
SITE
NYCB
STAG
MGY
RLI
MDU
ADC
MKSI
NFE
AQUA
COUP
THC
RMBS
VVV
CHH
X
NTNX
IPGP
TKR
PR
WWD
CRUS
QDEL
NCLH
GXO
SAIC
SON
BEPC
OGN
HLI
AYI
DXC
MUR
MEDP
HXL
SIGI
SMCI
PDCE
WH
DUOL
SLGN
FLO
BC
NSA
MTDR
ALTR
REYN
SLAB
BWXT
AGNC
NOVT
CCCS
CACC
OPCH
FYBR
GMED
FAF
ESTC
HCP
CMA
CMC
WTS
STWD
ATKR
MUSA
ASH
LANC
CHRD
LNTH
BOKF
SWN
PBF
PB
SRC
COLM
EXLS
WK
LNW
KNBE
PPC
HOG
CNM
PVH
UNVR
AIT
IDA
GTLS
EEFT
SPSC
WING
CIVI
OSK
NXT
HTZ
RH
ALK
VRT
HALO
TENB
SSB
FIVN
CHX
TREX
HRB
AIRC
EHC
BROS
IAA
EXP
TRNO
APG
NEWR
POST
LHCG
COHR
NFG
ITCI
MP
ENSG
IONS
FIX
FSK
RXDX
MSA
ENLC
NEP
VAC
DDS
NWL
GTLB
DNB
AAON
HGTY
NJR
FOXF
ORA
ALIT
DISH
HGV
MTSI
AM
AMG
SHC
DRVN
HQY
RHP
COKE
EXPO
DV
ATI
HUN
RYN
UFPI
ORCC
ASO
FIZZ
SOFI
MPW
PYCR
QLYS
TNET
POWI
PENN
NSIT
DTM
INFA
MMS
M
SNDR
UBSI
PSN
CWAN
MSM
VLY
ESI
GBCI
MSGS
ACLS
IART
VNOM
FRSH
RUN
SSD
S
WEN
THG
ASAN
IAC
IPAR
SWX
FFIN
KRG
NSP
SYNA
ABG
OMF
AJRD
ELAN
ZION
BRBR
CC
SGRY
APPF
EVR
WTFC
SNV
ONTO
BE
SEB
BFAM
HOMB
ELF
FLS
SKY
FCFS
COLB
SJI
OGS
FLR
VC
POR
FELE
DEN
AL
CBT
MDGL
TDOC
PNFP
MSTR
VNT
THO
SQSP
MAN
WFRD
MTH
MMSI
CWST
FNB
PECO
HE
LEG
MLI
ONB
HAE
AYX
AB
PNM
ALSN
DIOD
ICUI
BL
WU
BKH
UA
R
KEX
TDC
AVT
YOU
TMHC
ASGN
CVT
BPOP
SAM
PTON
OZK
SRCL
SHLS
AIMC
BCPC
NEOG
PEGA
HHC
SMG
MODG
SEAS
LNC
MTG
BOX
GTES
HLNE
WAL
PTCT
LTHM
SMPL
PCH
LPX
CHPT
GATX
CABO
CERT
HL
W
MAXR
PINC
ZWS
AI
CERE
BECN
RITM
LITE
DOCN
FLNC
IRTC
TGNA
AEIS
SPR
CADE
KRC
SYNH
PI
INST
HP
IRT
DOC
AVNT
FL
ALE
XPO
SUN
GPS
SR
FUL
QS
ACT
BTU
ZD
BDC
SFM
BLKB
EVH
BMBL
APLE
AZEK
FHI
BMI
TFSL
MRVI
SANM
OLLI
EPRT
LYFT
KWR
CALX
KMPR
ENS
JBT
ESAB
STR
LOPE
GOCO
NEU
OI
RDN
BRZE
SPT
SM
HRI
KOS
NWE
NARI
YETI
CXM
FLYW
RETA
FOCS
VIRT
NTLA
AMN
ONEM
SUM
NNI
NCR
WIRE
GOLF
STGW
APPN
ISEE
KD
AFRM
UNF
BNL
CYTK
TWNK
HI
CVI
AWI
TEX
ARRY
KBH
FSS
BSM
GEF
CRVL
FRPT
ENV
AFFS
AWR
SEM
PWSC
AVA
SPXC
PD
PRVA
GPI
UCBI
CWT
SXT
CUZ
ESMT
CALM
PAGP
IBP
VERX
ACAD
GT
CNMD
FIBK
SITM
VSH
FOLD
JXN
MAIN
AEL
VNO
BCO
HWC
CNS
VIR
DNLI
WOR
SLM
PBH
LTH
AZTA
LXP
BXMT
CCOI
RUSHA
RNG
STAA
TNL
ACA
FTAI
ROG
AMBA
OTTR
CRK
PFSI
PGNY
LFG
MRCY
RELY
TR
ABM
EVOP
BHF
INDB
PCVX
DNA
BOWL
ACIW
SFBS
ENVX
AAWW
ENOV
INTA
PACB
JOBY
SPB
RARE
BPMC
RUM
TRIP
EPR
WERN
GBTC
JJSF
AXNX
THS
COOP
MXL
GHC
MDC
UMBF
CBU
FWRD
MGEE
BBIO
PSEC
PJT
LFST
PK
HUBG
AIN
OLPX
SHOO
CRC
NCNO
GO
VRNS
DY
LCII
ASB
RPD
CVCO
NABL
AXSM
SBRA
MCW
RVNC
OFC
BANF
NGVT
KFY
ARWR
CNX
DORM
OMCL
LUMN
PLXS
CRI
TNDM
KTB
SAGE
WHD
REZI
BRC
LGIH
VSCO
IBOC
OUT
ARLP
AMRC
FHB
HPK
MC
NOG
CEQP
DNUT
AUB
HASI
SPWR
KSS
VSAT
PZZA
AEO
ARNC
SSTK
FRC
PDCO
FORM
VVNT
HIW
RRR
AMC
JWN
VRRM
ITGR
IOSP
SITC
ITRI
GDRX
TPH
TMDX
CNO
ABCB
CVLT
WD
HAYW
DCT
CBRL
URBN
DEI
CBZ
SONO
MQ
BCC
DEA
PROK
CATY
GNW
ENR
PRFT
ETRN
PRGS
GH
PTEN
VRNT
PIPR
ALRM
VIAV
ESE
