symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
AAPL,Technology,Apple Inc.,"One Apple Park Way, Cupertino, CA",162.36,0.0057,178.49,124.17,148.49825,2648887525376.0,0.65,6.86,9.18,0.24558,3.581,5.89,15821899776,51355000832.0,195.868,1.47943,-0.105,125287997440.0,153982000000.0,394328000000.0
MSFT,Technology,Microsoft Corporation,"One Microsoft Way, Redmond, WA",284.05,0.0095999995,315.11,213.43,253.24734,2178158297088.0,1.53,8.39,5.33,0.33048,24.592,9.0,7443800064,99495002112.0,42.583,0.39312,-0.113,97945001984.0,95082000000.0,198270000000.0
GOOG,Communication Services,Alphabet Inc.,"1600 Amphitheatre Parkway, Mountain View, CA",101.32,,144.04375,83.45,101.88245,1364989575168.0,,,,0.21204,19.935,4.56,5968000000,113762000896.0,11.703,0.23621,-0.314,90770997248.0,69300000000.0,282836000000.0
AMZN,Consumer Cyclical,"Amazon.com, Inc.","410 Terry Avenue North, Seattle, WA",102.0,,168.3945,81.43,107.5128,1091207233536.0,5.59,14.8,9.89,-0.00529,14.259,-0.27,10247300096,70026002432.0,116.362,-0.01915,-0.986,54169001984.0,155393000000.0,513983000000.0
NVDA,Technology,NVIDIA Corporation,"2788 San Tomas Expressway, Santa Clara, CA",273.83,0.00059999997,278.34,108.13,172.76495,692202831872.0,2.26,5.16,6.03,0.16193001,8.962,2.35,2492000000,13296000000.0,54.436,0.17934,-0.514,7120999936.0,6563000000.0,26974000000.0
BRK-B,Financial Services,Berkshire Hathaway Inc.,"3555 Farnam Street, Omaha, NE",305.08,,354.33,259.85,295.1509,683360452608.0,0.58,3.8,11.65,-0.07554,323497.25,-10.37,1298189952,128584998912.0,26.566,-0.044310004,-0.535,-17187999744.0,62502000000.0,302089000000.0
TSLA,Consumer Cyclical,"Tesla, Inc.","1 Tesla Road, Austin, TX",195.28,,384.29,101.81,215.82443,697501286400.0,2.78,16.16,9.61,0.15413,14.129,3.65,3164100096,22185000960.0,12.523,0.32490003,0.569,17439000576.0,26709000000.0,81462000000.0
META,Communication Services,"Meta Platforms, Inc.","1601 Willow Road, Menlo Park, CA",207.84,,236.86,88.09,150.60425,562270437376.0,1.02,21.01,10.51,0.19895001,48.092,8.49,2225760000,40738000896.0,21.699,0.18516001,-0.52,42240999424.0,27026000000.0,116609000000.0
JNJ,Healthcare,Johnson & Johnson,"One Johnson & Johnson Plaza, New Brunswick, NJ",153.43,0.0298,186.69,150.11,168.26524,483575201792.0,0.74,15.79,8.55,0.18897,29.386,6.73,3119840000,23519000576.0,53.329,0.2379,-0.254,32717000704.0,55802000000.0,94943000000.0
V,Financial Services,Visa Inc.,"PO Box 8999, San Francisco, CA",222.36,0.0081,234.3,174.6,208.4602,480256851968.0,0.71,7.84,7.52,0.50277,16.981,7.07,1624950016,16119000064.0,55.484,0.41514,0.084,21156999168.0,20853000000.0,29310000000.0
XOM,Energy,Exxon Mobil Corporation,"5959 Las Colinas Boulevard, Irving, TX",109.49,0.0334,119.63,79.29,102.14475,454092226560.0,18.55,9.82,8.1,0.13858,47.783,13.04,4070980096,29639999488.0,23.172,0.30451,0.484,91127996416.0,69045000000.0,402217000000.0
UNH,Healthcare,UnitedHealth Group Incorporated,"UnitedHealth Group Center, Minnetonka, MN",470.06,0.0139999995,558.1,449.7,511.6299,440854151168.0,0.03,11.62,5.89,0.062069997,83.268,21.2,932846976,27911000064.0,72.328,0.25351,0.179,30834999296.0,89237000000.0,324162000000.0
WMT,Consumer Defensive,Walmart Inc.,"702 South West 8th Street, Bentonville, AR",145.67,0.015700001,160.77,117.27,137.7635,397475053568.0,4.4,13.92,6.31,0.01911,28.475,4.27,2695660032,8625000448.0,72.668,0.1284,0.809,35472998400.0,92198000000.0,611289000000.0
JPM,Financial Services,JPMorgan Chase & Co.,"383 Madison Avenue, New York, NY",128.75,0.031,144.34,101.28,125.43125,384321978368.0,1.11,16.18,11.73,0.30805,90.29,12.06,2943360000,1309825040384.0,,0.12849,0.074,,3082706000000.0,122306000000.0
MA,Financial Services,Mastercard Incorporated,"2000 Purchase Street, Purchase, NY",359.26,0.0063,390.0,276.87,339.9171,351501778944.0,0.32,8.1,8.57,0.44654998,6.588,10.06,945723008,7408000000.0,231.974,1.44028,0.086,13374000128.0,14171000000.0,22237000000.0
PG,Consumer Defensive,The Procter & Gamble Company,"One Procter & Gamble Plaza, Cincinnati, OH",147.45,0.0249,164.9,122.18,141.5793,351860031488.0,9.54,9.6,7.47,0.17785999,18.491,5.68,2359140096,6854000128.0,77.992,0.32018003,-0.045,21005000704.0,33081000000.0,80187000000.0
LLY,Healthcare,Eli Lilly and Company,"Lilly Corporate Center, Indianapolis, IN",340.69,0.013300001,375.25,276.83,334.65515,327055015936.0,3.43,17.4,11.56,0.2188,11.831,6.92,952347008,2442299904.0,159.06,0.62667,0.13,10175800320.0,17138200000.0,28541400000.0
CVX,Energy,Chevron Corporation,"6001 Bollinger Canyon Road, San Ramon, CA",162.39,0.0372,189.68,132.54,163.98015,311092281344.0,18.61,8.71,10.29,0.14517,83.167,18.29,1906669952,17901000704.0,17.08,0.23724002,0.259,64641998848.0,34208000000.0,244302000000.0
HD,Consumer Cyclical,"The Home Depot, Inc.","2455 Paces Ferry Road, Atlanta, GA",285.36,0.0293,347.25,264.51,300.56616,299534974976.0,3.4,5.51,3.63,0.108669996,1.537,16.69,1014960000,2756999936.0,3224.328,,0.03,27014000640.0,23110000000.0,157403000000.0
ABBV,Healthcare,AbbVie Inc.,"1 North Waukegan Road, North Chicago, IL",157.92,0.0375,175.91,134.09,149.7197,283732770816.0,1.12,16.77,9.95,0.20388001,9.753,6.63,1764140032,9228999680.0,373.593,0.72394997,-0.388,31089000448.0,29538000000.0,58054000000.0
KO,Consumer Defensive,The Coca-Cola Company,"One Coca-Cola Plaza, Atlanta, GA",61.85,0.0297,67.2,54.02,61.05345,268360990720.0,7.88,9.72,4.95,0.22188999,5.57,2.19,4326309888,11630999552.0,163.707,0.37765998,-0.165,13509999616.0,19724000000.0,43004000000.0
MRK,Healthcare,"Merck & Co., Inc.","126 East Lincoln Avenue, Rahway, NJ",105.92,0.0276,115.49,82.73,99.1665,270080589824.0,0.79,11.47,9.57,0.24490999,18.122,5.71,2538589952,13191999488.0,69.445,0.34456003,-0.2,24354000896.0,24239000000.0,59283000000.0
AVGO,Technology,Broadcom Inc.,"1320 Ridder Park Drive, San Jose, CA",633.75,0.029000001,648.5,415.07,535.4664,267473420288.0,8.82,6.92,6.66,0.37188,55.899,29.66,416924000,12647000064.0,169.009,0.55274,0.574,20004999168.0,7052000000.0,33203000000.0
ORCL,Technology,Oracle Corporation,"2300 Oracle Way, Austin, TX",90.51,0.0177,93.0,60.78,78.33445,257545420800.0,0.52,7.71,5.69,0.17458999,-0.897,3.03,2699800064,8769000448.0,,,-0.19,18603999232.0,19511000000.0,42440000000.0
PEP,Consumer Defensive,"PepsiCo, Inc.","700 Anderson Hill Road, Purchase, NY",180.83,0.0254,186.84,154.86,174.463,251083603968.0,4.91,6.55,4.48,0.10313,12.454,6.42,1377309952,5347999744.0,240.184,0.53722,-0.609,14892000256.0,26785000000.0,86392000000.0
PFE,Healthcare,Pfizer Inc.,"66 Hudson Boulevard East, New York, NY",40.38,0.040700004,56.32,39.23,46.77725,231788871680.0,2.83,12.85,9.66,0.31269,17.034,5.43,5644400128,22731999232.0,41.053,0.36222,0.471,44024000512.0,42138000000.0,100330000000.0
BAC,Financial Services,Bank of America Corporation,"Bank of America Corporate Center, Charlotte, NC",28.3,0.0311,41.14,26.32,33.5473,228779409408.0,1.62,14.37,11.16,0.29790002,30.612,3.19,7999280128,725812969472.0,,0.101339996,0.069,,2504509000000.0,92407000000.0
COST,Consumer Defensive,Costco Wholesale Corporation,"999 Lake Drive, Issaquah, WA",491.48,0.0073,612.27,406.51,498.10986,222770167808.0,7.26,11.21,5.72,0.02582,51.39,13.61,443483008,13704999936.0,40.085,0.28428,0.13,9891000320.0,31998000000.0,226954000000.0
TMO,Healthcare,Thermo Fisher Scientific Inc.,"168 Third Avenue, Waltham, MA",562.97,0.0025,618.36,475.77,549.7057,222150295552.0,1.47,5.6,6.46,0.15474,112.617,17.62,385430016,8524000256.0,81.902,0.16352,-0.042,11968000000.0,17010000000.0,44915000000.0
CSCO,Technology,"Cisco Systems, Inc.","170 West Tasman Drive, San Jose, CA",51.43,0.030299999,56.12,38.6,46.06145,217627115520.0,0.03,5.59,6.45,0.21260001,10.128,2.73,4095820032,22061000704.0,24.008,0.27916,-0.056,15811000320.0,25640000000.0,51557000000.0
MCD,Consumer Cyclical,McDonald's Corporation,"110 North Carpenter Street, Chicago, IL",277.79,0.0219,281.67,228.34,261.2803,204533874688.0,4.18,14.3,6.32,0.26647,-8.216,8.33,731497024,2583800064.0,,,0.186,12215400448.0,3802100000.0,23182600000.0
CRM,Technology,"Salesforce, Inc.","Salesforce Tower, San Francisco, CA",196.6,,221.0,126.34,161.9548,199779991552.0,2.34,6.39,4.46,0.0066299997,59.489,0.22,1000000000,12508000256.0,25.496,0.00357,,5436000256.0,25891000000.0,31352000000.0
NKE,Consumer Cyclical,"NIKE, Inc.","One Bowerman Drive, Beaverton, OR",120.1,0.0113,139.14,82.22,110.18255,190160683008.0,3.04,6.99,6.92,0.1082,9.412,3.47,1245670016,10801999872.0,86.477,0.37342,-0.092,7415000064.0,10730000000.0,46710000000.0
DHR,Healthcare,Danaher Corporation,"2200 Pennsylvania Avenue, NW, Washington, DC",249.8,0.0043,303.82,233.71,263.9809,185411960832.0,1.35,5.16,5.22,0.22907,66.475,9.67,729107008,5994999808.0,41.403,0.15134,0.239,10963999744.0,8389000000.0,31471000000.0
DIS,Communication Services,The Walt Disney Company,"500 South Buena Vista Street, Burbank, CA",98.1,,139.26,84.07,100.8596,182918479872.0,0.06,7.92,6.9,0.039330002,52.656,1.8,1826809984,8470000128.0,44.432,0.03496,0.159,11898999808.0,29073000000.0,82722000000.0
ADBE,Technology,Adobe Inc.,"345 Park Avenue, San Jose, CA",381.9,,473.49,274.73,352.38895,178375442432.0,1.89,5.93,4.64,0.26318002,30.95,10.23,458700000,5653000192.0,29.044,0.33859003,0.019,6720999936.0,8128000000.0,17606000000.0
ABT,Healthcare,Abbott Laboratories,"100 Abbott Park Road, North Chicago, IL",99.08,0.020599999,124.36,93.25,105.2985,175984820224.0,3.03,13.59,8.36,0.15882,21.111,3.91,1737949952,10170000384.0,48.627,0.19013001,-0.472,12103000064.0,15489000000.0,43653000000.0
TMUS,Communication Services,"T-Mobile US, Inc.","12920 SE 38th Street, Bellevue, WA",144.57,,154.38,120.9,142.3804,176945233920.0,5.03,13.35,7.69,0.03255,56.449,2.07,1219379968,4506999808.0,160.492,0.03733,2.511,26733000704.0,24742000000.0,79571000000.0
TXN,Technology,Texas Instruments Incorporated,"12500 TI Boulevard, Dallas, TX",184.24,0.0269,186.3,144.46,169.12895,170387013632.0,8.84,5.06,6.03,0.43683997,16.089,9.41,907342016,9066999808.0,62.797,0.62694,-0.059,11020000256.0,2985000000.0,20028000000.0
UPS,Industrials,"United Parcel Service, Inc.","55 Glenlake Parkway, N.E., Atlanta, GA",191.09,0.033800002,209.39,154.87,181.76904,169499934720.0,4.58,9.55,5.38,0.11509,23.034,12.93,723299008,7594999808.0,118.8,0.67786,0.128,16972000256.0,18140000000.0,100338000000.0
VZ,Communication Services,Verizon Communications Inc.,"1095 Avenue of the Americas, New York, NY",38.66,0.0675,55.51,34.55,41.11835,163337994240.0,3.88,8.92,5.69,0.15534,21.702,5.06,4200000000,2704999936.0,195.816,0.24761,0.413,50214998016.0,50171000000.0,136835000000.0
AMD,Technology,"Advanced Micro Devices, Inc.","2485 Augustine Drive, Santa Clara, CA",97.88,,110.94,54.57,77.8236,157932339200.0,,,,0.05593,33.964,0.85,1611389952,5855000064.0,5.399,0.04241,-0.99,4700000256.0,6369000000.0,23601000000.0
CMCSA,Communication Services,Comcast Corporation,"One Comcast Center, Philadelphia, PA",37.15,0.0312,48.42,28.39,36.257,159830835200.0,4.56,12.11,8.09,0.04422,19.18,1.21,4206609920,4749000192.0,130.141,0.05471,0.07,36444999680.0,27887000000.0,121427000000.0
NFLX,Communication Services,"Netflix, Inc.","121 Albright Way, Los Gatos, CA",338.43,,396.02,162.71,271.89056,157905436672.0,0.09,6.83,9.34,0.14208001,46.654,9.84,445347008,6058451968.0,81.49,0.24528,-0.909,5969512960.0,7930974000.0,31615550000.0
NEE,Utilities,"NextEra Energy, Inc.","700 Universe Boulevard, Juno Beach, FL",76.59,0.024400001,91.35,67.22,80.56595,153196511232.0,14.05,7.64,5.83,0.19789,19.743,2.1,1987500032,1600999936.0,132.173,0.06826,0.253,8551000064.0,26695000000.0,20956000000.0
PM,Consumer Defensive,Philip Morris International Inc.,"677 Washington Boulevard, Stamford, CT",96.62,0.052600004,109.81,82.85,96.6549,150946594816.0,3.57,10.73,9.49,0.28487,-5.778,5.81,1552150016,3207000064.0,,,0.148,13585000448.0,27336000000.0,31762000000.0
MS,Financial Services,Morgan Stanley,"1585 Broadway, New York, NY",86.11,0.0365,100.99,72.05,86.917,147674333184.0,0.72,11.76,9.73,0.20658001,54.546,6.15,1681939968,554749984768.0,362.997,0.107580006,-0.372,,502315000000.0,53388000000.0
BMY,Healthcare,Bristol-Myers Squibb Company,"430 East 29th Street, New York, NY",68.2,0.0334,81.44,65.28,73.04435,145779720192.0,0.34,14.93,7.56,0.13707,14.805,2.95,2103299968,9253000192.0,131.178,0.18905,-0.114,20160999424.0,21890000000.0,46159000000.0
WFC,Financial Services,Wells Fargo & Company,"420 Montgomery Street, San Francisco, CA",37.38,0.0321,50.19,35.25,43.3516,141187629056.0,1.94,15.4,15.51,0.18246001,41.961,3.14,3777090048,361895985152.0,,0.06926,-0.517,,1540172000000.0,72247000000.0
RTX,Industrials,Raytheon Technologies Corporation,"1000 Wilson Boulevard, Arlington, VA",97.37,0.0226,106.02,80.27,94.22895,143292153856.0,,,,0.07748,49.709,3.51,1463209984,6220000256.0,45.619,0.07154,1.138,11324000256.0,39114000000.0,67074000000.0
QCOM,Technology,QUALCOMM Incorporated,"5775 Morehouse Drive, San Diego, CA",127.4,0.0235,156.66,101.93,126.27035,142251704320.0,4.83,4.05,7.71,0.27403998,16.81,10.43,1115000064,8238000128.0,89.724,0.78692,-0.337,16295000064.0,11866000000.0,44200000000.0
T,Communication Services,AT&T Inc.,"208 South Akard Street, Dallas, TX",19.08,0.0584,21.53,14.46,18.5001,137249996800.0,2.27,13.15,6.66,-0.0706,13.679,-1.1,7129869824,3739000064.0,154.403,-0.04736,,44518998016.0,56173000000.0,120741000000.0
INTC,Technology,Intel Corporation,"2200 Mission College Boulevard, Santa Clara, CA",32.09,0.0156,49.23,24.59,30.5175,135155777536.0,4.36,5.94,6.96,0.1271,24.516,1.94,4136999936,28337999872.0,41.121,0.080699995,,15370999808.0,32155000000.0,63054000000.0
AMGN,Healthcare,Amgen Inc.,"One Amgen Center Drive, Thousand Oaks, CA",241.5,0.0353,296.67,223.3,251.3277,130469093376.0,0.69,13.46,7.89,0.24891001,6.856,11.97,533976000,9304999936.0,1082.764,1.26474,-0.109,13486000128.0,15687000000.0,26323000000.0
INTU,Technology,Intuit Inc.,"2700 Coast Avenue, Mountain View, CA",440.09,0.0070999996,507.71,339.36,411.7005,125075808256.0,0.97,10.52,4.7,0.14220999,56.444,6.87,280545984,2071000064.0,48.46,0.1238,0.708,3399000064.0,3630000000.0,12726000000.0
HON,Industrials,Honeywell International Inc.,"855 South Mint Street, Charlotte, NC",189.12,0.0218,220.96,166.63,194.62595,128476405760.0,10.58,10.19,8.54,0.14002,25.01,7.23,668140032,10110000128.0,118.533,0.27161,-0.265,8273999872.0,19938000000.0,35466000000.0
BA,Industrials,The Boeing Company,"929 Long Bridge Drive, Arlington, VA",211.04,,221.33,113.02,172.5416,127283167232.0,7.08,19.72,7.87,-0.07409,-26.578,-8.42,599177024,17219999744.0,,,,1647000064.0,90052000000.0,66608000000.0
AXP,Financial Services,American Express Company,"200 Vesey Street, New York, NY",162.41,0.0147,192.42,130.65,154.3834,126110212096.0,0.05,8.37,9.95,0.14826,33.258,9.58,744065984,33622999040.0,183.02,0.32051,-0.051,,133543000000.0,50680000000.0
UNP,Industrials,Union Pacific Corporation,"1400 Douglas Street, Omaha, NE",198.36,0.026199998,260.69,183.69,209.8555,123145560064.0,9.43,12.14,3.69,0.28133,19.861,11.21,611873024,1019000000.0,287.404,0.53168,0.001,12078999552.0,5520000000.0,24875000000.0
SBUX,Consumer Cyclical,Starbucks Corporation,"2401 Utah Avenue South, Seattle, WA",101.32,0.0209,110.83,68.39,93.2949,122995236864.0,6.11,14.5,4.21,0.1009,-7.552,2.88,1149299968,3310400000.0,,,0.072,6000600064.0,9151800000.0,32250300000.0
DE,Industrials,Deere & Company,"One John Deere Place, Moline, IL",403.7,0.0124,448.4,283.81,383.2594,125127827456.0,3.19,6.9,6.55,0.14713,71.989,26.93,296321984,2960999936.0,257.277,0.41702998,1.243,12408999936.0,32918000000.0,52563000000.0
COP,Energy,ConocoPhillips,"925 North Eldridge Parkway, Houston, TX",99.25,0.0234,138.49,78.3,109.35595,120915165184.0,17.29,9.71,7.87,0.23183,39.223,14.57,1218780032,9242999808.0,35.806,0.39995998,0.298,34884001792.0,12847000000.0,80575000000.0
LMT,Industrials,Lockheed Martin Corporation,"6801 Rockledge Drive, Bethesda, MD",473.18,0.0254,498.95,373.67,448.24026,120318771200.0,5.27,15.9,7.2,0.08687,36.48,21.67,254519008,2547000064.0,179.646,0.56681997,-0.009,8620000256.0,15887000000.0,65984000000.0
CAT,Industrials,Caterpillar Inc.,"5205 North O'Connor Boulevard, Irving, TX",224.54,0.0218,266.04,160.6,212.36964,119684694016.0,7.18,18.52,8.47,0.11283,30.733,12.64,516345984,6041999872.0,236.436,0.41374,-0.287,11895000064.0,31531000000.0,59427000000.0
LOW,Consumer Cyclical,"Lowe's Companies, Inc.","1000 Lowe’s Boulevard, Mooresville, NC",192.65,0.0221,223.31,170.12,197.94945,120375934976.0,3.7,4.63,3.15,0.06632,-23.717,10.17,596355968,1732000000.0,,,-0.115,12140000256.0,19511000000.0,97059000000.0
IBM,Technology,International Business Machines Corporation,"One New Orchard Road, Armonk, NY",129.22,0.0511,153.21,115.55,134.56705,117498585088.0,0.47,6.67,7.64,0.02708,24.218,6.089,896320000,8737999872.0,245.28,0.086890005,0.151,12369000448.0,31505000000.0,60530000000.0
SPGI,Financial Services,S&P Global Inc.,"55 Water Street, New York, NY",341.27,0.0105,417.37,279.32,345.5326,114226094080.0,0.0,6.16,8.15,0.29049,113.041,10.2,327947008,1300000000.0,29.315,0.15556,-0.521,4976999936.0,5999000000.0,11181000000.0
PLD,Real Estate,"Prologis, Inc.","Pier 1, San Francisco, CA",121.92,0.028499998,174.54,98.03,119.08815,115218849792.0,2.5,1.74,4.27,0.53541,57.6,4.26,923449984,278483008.0,42.367,0.07438,-0.622,4404050944.0,2010259000.0,6284564000.0
ELV,Healthcare,"Elevance Health, Inc.","220 Virginia Avenue, Indianapolis, IN",458.92,0.0128999995,549.52,440.02,486.35355,109185564672.0,0.03,5.76,5.69,0.03847,152.577,24.83,237458000,34292000768.0,68.819,0.16599001,-0.151,9738999808.0,39696000000.0,156599000000.0
SYK,Healthcare,Stryker Corporation,"2825 Airview Boulevard, Kalamazoo, MI",280.71,0.0108,285.68,188.84,231.9831,108859990016.0,3.72,13.96,10.84,0.12781,43.876,6.16,379121984,1928000000.0,81.403,0.14975001,-0.15,4536000000.0,6303000000.0,18449000000.0
GS,Financial Services,"The Goldman Sachs Group, Inc.","200 West Street, New York, NY",321.14,0.0311,389.58,277.84,337.3242,109187678208.0,1.25,12.67,12.24,0.25221002,177.411,30.06,333795008,917085028352.0,441.292,0.09852,-0.692,,742699000000.0,44650000000.0
AMAT,Technology,"Applied Materials, Inc.","3050 Bowers Avenue, Santa Clara, CA",122.11,0.0107,129.7,71.12,101.84125,106882613248.0,3.84,2.62,5.1,0.24569,15.879,7.24,845118016,4047000064.0,45.589,0.50968,0.01,8281999872.0,7379000000.0,25785000000.0
GE,Industrials,General Electric Company,"5 Necco Street, Boston, MA",94.05,0.0034,95.67,46.783764,65.83715,105260376064.0,14.09,15.04,11.58,0.00294,33.385,0.53,1090279936,21770999808.0,92.446,0.023640001,,8454000128.0,56947000000.0,76555000000.0
GILD,Healthcare,"Gilead Sciences, Inc.","333 Lakeside Drive, Foster City, CA",81.45,0.0368,89.74,57.17,74.15775,103614595072.0,0.03,14.04,8.01,0.16832,17.033,3.64,1248819968,7144000000.0,121.684,0.21601999,3.333,13077000192.0,11237000000.0,27281000000.0
ADI,Technology,"Analog Devices, Inc.","One Analog Way, Wilmington, MA",194.21,0.0177,197.56,133.48,163.4553,101325922304.0,10.13,7.74,5.9,0.27267,72.218,6.6,505852992,1670461952.0,17.925,0.09275,2.547,6570859008.0,2442655000.0,12013953000.0
BKNG,Consumer Cyclical,Booking Holdings Inc.,"800 Connecticut Avenue, Norwalk, CT",2609.76,,2660.86,1616.85,2056.4036,101566873600.0,2.02,12.48,7.83,0.17893,73.475,77.51,37648400,12396000256.0,473.868,0.68259,1.135,5353999872.0,8474000000.0,17090000000.0
BLK,Financial Services,"BlackRock, Inc.","50 Hudson Yards, New York, NY",661.04,0.030299999,788.65,503.12,671.9635,100525907968.0,1.49,9.61,9.48,0.28971002,252.036,33.98,150236000,7182000128.0,21.887,0.12858,-0.219,6896999936.0,9492000000.0,17873000000.0
SCHW,Financial Services,The Charles Schwab Corporation,"3000 Schwab Way, Westlake, TX",52.47,0.0191,86.63,45.0,72.80805,95634882560.0,2.08,10.14,11.79,0.34597,14.517,3.5,1778029952,85315002368.0,117.657,0.15469,0.268,,492831000000.0,20762000000.0
AMT,Real Estate,American Tower Corporation,"116 Huntington Avenue, Boston, MA",201.18,0.031400003,282.47,178.17,226.5802,97922588672.0,2.36,3.56,5.02,0.16486,11.968,3.7,465646016,2028400000.0,379.184,0.15799,,6493700096.0,8311900000.0,10711100000.0
CVS,Healthcare,CVS Health Corporation,"One CVS Drive, Woonsocket, RI",74.7,0.033099998,107.73,72.11,93.1304,95422210048.0,0.03,16.39,6.44,0.0128999995,54.627,3.14,1284109952,15722999808.0,99.183,0.05678,0.787,19663998976.0,69736000000.0,321629000000.0
MDLZ,Consumer Defensive,"Mondelez International, Inc.","905 West Fulton Market, Chicago, IL",69.58,0.0221,70.39,54.72,63.66925,95049973760.0,9.46,9.08,5.18,0.086260006,19.682,1.96,1363309952,1923000064.0,87.715,0.09869,-0.411,5982000128.0,16731000000.0,31496000000.0
NOW,Technology,"ServiceNow, Inc.","2225 Lawson Lane, Santa Clara, CA",439.63,,575.81,337.0,428.00204,96395943936.0,1.41,8.39,6.26,0.04486,24.803,1.59,203000000,4280000000.0,44.356,0.07448,4.656,788000000.0,6005000000.0,7245000000.0
ADP,Industrials,"Automatic Data Processing, Inc.","One ADP Boulevard, Roseland, NJ",219.49,0.0228,274.92,196.61,234.2978,92247187456.0,1.07,6.96,5.94,0.18242,7.207,7.53,414352000,1361400064.0,114.444,0.78300005,0.182,4691999744.0,55158700000.0,16498300000.0
C,Financial Services,Citigroup Inc.,"388 Greenwich Street, New York, NY",46.07,0.044299997,54.56,40.01,47.92405,92894248960.0,1.75,13.11,11.82,0.21039,94.061,7.11,1946460032,1024564002816.0,,0.07498,-0.21,,1888522000000.0,70560000000.0
ISRG,Healthcare,"Intuitive Surgical, Inc.","1020 Kifer Road, Sunnyvale, CA",251.3,,308.97,180.07,232.90926,90979254272.0,4.37,9.78,9.6,0.21250999,31.548,3.67,350256992,4122200064.0,0.858,0.11658,-0.119,1959000064.0,1422100000.0,6222200000.0
TJX,Consumer Cyclical,"The TJX Companies, Inc.","770 Cochituate Road, Framingham, MA",76.91,0.0174,83.13,53.69,70.91635,90718150656.0,1.89,7.42,5.12,0.07005,5.435,2.96,1155500032,5477000192.0,200.251,0.5657,0.136,5746999808.0,10305000000.0,49936000000.0
REGN,Healthcare,"Regeneron Pharmaceuticals, Inc.","777 Old Saw Mill River Road, Tarrytown, NY",811.5,,835.0,538.01,700.0311,89001648128.0,0.38,10.75,7.03,0.35639998,211.813,37.82,107507000,7742300160.0,11.919,0.20942,-0.467,5335399936.0,3141300000.0,12172900000.0
EL,Consumer Defensive,The Estée Lauder Companies Inc.,"767 Fifth Avenue, New York, NY",246.72,0.011,285.79,186.47,244.64995,88040439808.0,6.88,11.34,7.68,0.091280006,16.526,4.16,231678000,3729999872.0,113.48,0.21863002,-0.633,3332999936.0,5815000000.0,17737000000.0
PYPL,Financial Services,"PayPal Holdings, Inc.","2211 North First Street, San Jose, CA",74.39,,122.918,66.385,81.49215,87706910720.0,0.71,9.92,5.36,0.087910004,17.847,2.1,1131369984,10867999744.0,56.994,0.11519,0.185,4929999872.0,45101000000.0,27518000000.0
PGR,Financial Services,The Progressive Corporation,"6300 Wilson Mills Road, Mayfield Village, OH",143.79,0.0028,146.5,106.35,127.4128,83742457856.0,1.67,8.36,10.85,0.01455,26.324,1.18,585340032,3065200128.0,41.064,0.042290002,-0.147,1727000064.0,53117500000.0,49586400000.0
MMC,Financial Services,"Marsh & McLennan Companies, Inc.","1166 Avenue of the Americas, New York, NY",164.88,0.0143,183.14,143.33,162.86266,82370805760.0,0.06,7.9,11.49,0.1472,21.262,6.03,494571008,1442000000.0,125.332,0.28101,-0.412,5233999872.0,7172000000.0,20720000000.0
VRTX,Healthcare,Vertex Pharmaceuticals Incorporated,"50 Northern Avenue, Boston, MA",312.16,,325.19,233.01,296.10886,81001668608.0,0.75,15.4,6.67,0.37197,54.133,12.74,257091008,10778500096.0,6.467,0.27669,0.05,4526700032.0,2742100000.0,8930700000.0
ABNB,Consumer Cyclical,"Airbnb, Inc.","888 Brannan Street, San Francisco, CA",122.28,,179.09,81.91,108.0636,79918170112.0,,,,0.22538,8.812,2.92,408928000,9621999616.0,42.104,0.36633,4.542,1946899968.0,7978000000.0,8399000000.0
MO,Consumer Defensive,"Altria Group, Inc.","6601 West Broad Street, Richmond, VA",44.5,0.0845,57.05,40.35,44.8765,79959040000.0,4.66,12.98,6.35,0.27861,-2.225,3.18,1785560064,4030000128.0,,,0.696,12526999552.0,8616000000.0,20688000000.0
SO,Utilities,The Southern Company,"30 Ivan Allen Jr. Boulevard, N.W., Atlanta, GA",69.06,0.0394,80.57,60.71,69.9509,76336914432.0,14.79,11.0,7.3,0.12036,27.928,3.26,1088909952,1916999936.0,172.121,0.10185,,10284000256.0,15724000000.0,29279000000.0
ZTS,Healthcare,Zoetis Inc.,"10 Sylvan Way, Parsippany, NJ",164.15,0.0091,201.32,124.15,160.07056,78202003456.0,1.38,8.15,8.95,0.26163,9.497,4.5,463387008,3580999936.0,185.532,0.47189,0.125,3332000000.0,3167000000.0,8080000000.0
CI,Healthcare,The Cigna Group,"900 Cottage Grove Road, Bloomfield, CT",254.09,0.0194,340.11,240.11,294.23956,75900837888.0,0.02,5.99,5.65,0.03704,150.236,21.29,297032992,6761999872.0,70.194,0.14644,0.131,9840000000.0,41229000000.0,180021000000.0
TGT,Consumer Defensive,Target Corporation,"1000 Nicollet Mall, Minneapolis, MN",160.27,0.027,254.87,137.16,159.56944,76250095616.0,2.04,7.63,5.06,0.02548,24.399,5.98,460364000,2228999936.0,170.531,0.23110001,-0.412,6659999744.0,19500000000.0,109120000000.0
