symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
PUBM,Technology,"PubMatic, Inc.","601 Marshall Street, Redwood City, CA",13.5,,28.3,12.19,16.169525,745106688.0,,,,0.11196,5.923,0.48,43576100,174395008.0,8.715,0.10083,-0.559,58821000.0,302026000.0,256380000.0
SLAM,Financial Services,Slam Corp.,"55 Hudson Yards, New York, NY",10.33,,10.6,9.77,10.0129,411788384.0,,,,0.0,-0.324,0.41,25335200,,,,,,1110564.0,0.0
DM,Technology,"Desktop Metal, Inc.","63 3rd Avenue, Burlington, MA",2.25,,5.28,1.13,2.264,733272192.0,,,,0.0,1.659,-2.53,318814016,184534000.0,25.842,-0.83379,,-161720992.0,83387000.0,209023000.0
TSE,Basic Materials,Trinseo PLC,"440 East Swedesford Road, Wayne, PA",20.65,0.0277,53.93,17.54,26.669,730392192.0,,,,-0.086780004,11.974,-11.91,34978900,211700000.0,569.807,-0.59718,,170100000.0,689400000.0,4965500000.0
CNDT,Technology,Conduent Incorporated,"100 Campus Drive, Florham Park, NJ",3.36,,5.89,3.12,4.0573,749125760.0,,,,-0.04717,4.2,-0.93,218404000,582000000.0,144.381,-0.15602,,296000000.0,923000000.0,3858000000.0
BANC,Financial Services,"Banc of California, Inc.","3 MacArthur Place, Santa Ana, CA",12.4,0.0323,20.49,11.85,16.6878,739607040.0,,,,0.33506,16.259,1.89,58549600,231188000.0,,0.119449995,4.373,,7196462000.0,360944000.0
GIII,Consumer Cyclical,"G-III Apparel Group, Ltd.","512 Seventh Avenue, New York, NY",15.39,,30.45,11.6,17.86925,747040640.0,,,,-0.04124,34.161,-2.79,46488500,150719008.0,68.749,-0.08552,,266918656.0,579069000.0,3226728000.0
PFC,Financial Services,Premier Financial Corp.,"601 Clinton Street, Defiance, OH",20.48,0.060500003,30.8,19.91,26.4431,748925120.0,,,,0.35386002,24.942,2.85,35726400,134003000.0,,0.106929995,0.017,,7417969000.0,288775000.0
QCRH,Financial Services,"QCR Holdings, Inc.","3551 7th Street, Moline, IL",43.3,0.0055,62.85,42.15,52.53225,748726976.0,,,,0.32634,46.007,5.87,16826000,361624000.0,,0.13667,0.067,,6692418000.0,303565000.0
ALLO,Healthcare,"Allogene Therapeutics, Inc.","210 East Grand Avenue, South San Francisco, CA",4.97,,17.49,4.83,9.87305,713815168.0,,,,0.0,4.61,-2.26,144496992,517320000.0,15.187,-0.42044997,,-321153984.0,54518000.0,243000.0
PEBO,Financial Services,Peoples Bancorp Inc.,"138 Putnam Street, Marietta, OH",25.47,0.0592,32.24,25.09,29.10125,733148864.0,,,,0.30188,28.269,3.61,28471800,188144992.0,,0.12425999,-0.03,,6313577000.0,335540000.0
VREX,Healthcare,Varex Imaging Corporation,"1678 S. Pioneer Road, Salt Lake City, UT",17.82,,23.78,17.22,20.6319,743745472.0,,,,0.03694,12.765,0.78,40100000,98200000.0,88.571,0.06284,1.577,120200000.0,173100000.0,859400000.0
ARIS,Utilities,"Aris Water Solutions, Inc.","9811 Katy Freeway, Houston, TX",7.86,0.0458,23.58,7.505,15.27485,721356352.0,,,,0.00529,10.345,0.04,30072900,1183000.0,66.63,0.0076200003,-0.915,133976000.0,91414000.0,321001000.0
BOC,Communication Services,Boston Omaha Corporation,"1601 Dodge Street, Omaha, NE",22.47,,29.4,18.68,25.04805,722765824.0,,,,0.08789,16.95,0.24,29765000,74071312.0,17.656,0.01248,,10785103.0,,0.0
PLOW,Consumer Cyclical,"Douglas Dynamics, Inc.","11270 West Park Place, Milwaukee, WI",31.37,0.0376,41.4,27.76,33.8432,729860032.0,,,,0.06267,10.36,1.63,22886800,24770000.0,95.543,0.17095,0.325,79739000.0,100431000.0,616068000.0
AMTB,Financial Services,Amerant Bancorp Inc.,"220 Alhambra Circle, Coral Gables, FL",21.3,0.0166,31.35,21.16,27.3354,736182144.0,,,,0.20468001,21.116,1.85,33831900,326691008.0,,0.0806,-0.688,,7527294000.0,309319000.0
TXO,Energy,"TXO Energy Partners, L.P.","400 West 7th Street, Fort Worth, TX",23.09,,25.0,21.28,23.02,710632512.0,,,,0.14247,,1.42,30750000,11148000.0,24.04,,,73551000.0,35273000.0,228344000.0
TITN,Industrials,Titan Machinery Inc.,"644 East Beaton Drive, West Fargo, ND",30.02,,47.87,21.5,34.18245,691425152.0,,,,0.04611,23.937,4.36,22706900,43913000.0,77.182,0.20971,-0.191,163520000.0,498151000.0,2209306000.0
CLFD,Technology,"Clearfield, Inc.","7050 Winnetka Avenue North, Minneapolis, MN",44.66,,134.9,43.56,87.59305,718366080.0,,,,0.17411,19.311,3.8,15219600,147851008.0,6.632,0.2607,0.333,72785000.0,51694000.0,270883000.0
RICK,Consumer Cyclical,"RCI Hospitality Holdings, Inc.","10737 Cutten Road, Houston, TX",76.0,0.0022,97.45,46.49,75.77935,721526272.0,,,,0.17204,17.801,-0.228,9230220,35980000.0,99.793,0.21882,3.489,84757000.0,31501000.0,267620000.0
KOP,Basic Materials,Koppers Holdings Inc.,"436 Seventh Avenue, Pittsburgh, PA",33.87,0.0069999998,38.42,20.11,27.44575,728439104.0,,,,0.03201,19.236,3.0,20830400,33300000.0,224.442,0.1568,-0.364,191300000.0,324000000.0,1980500000.0
XMTR,Industrials,"Xometry, Inc.","6116 Executive Blvd, North Bethesda, MD",14.24,,64.348,13.865,39.716774,714766592.0,,,,-0.19951001,7.869,-1.58,45070500,319432000.0,80.654,-0.18995,,-62748000.0,63803000.0,381053000.0
